OID,Lat_DD,Long_DD,Jurisdiction,Juris_ID,Name,Status,Commodity_Code,Commodity_Full_Name,Mined_Quantity,Mine_Type,Last_Year,Permit,URL,Forcing_Features,Feature_References,Feature_Class,Location,County,Landowner,Last_Operator,Start_Date,Peak_Production,Last_Updated
A1713,50.024443,-126.78444,BC,092L  016,RIMY 1-8,Historic,"AU,AG,PB",NULL,NULL,NULL,1938,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++016,NULL,NULL,O,NULL,NULL,NULL,NULL,1938,NULL,2024
A1714,50.0125,-126.77916,BC,092L  017,NORTH STAR (L.1716),Historic,"AU,PB,ZN",NULL,NULL,NULL,1942,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++017,NULL,NULL,O,NULL,NULL,NULL,NULL,1942,NULL,2024
A1715,50.034444,-126.78249,BC,092L  018,EXTENSION 10 (L.1712),Historic,"CU,AU,AG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++018,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1716,50.016388,-126.7625,BC,092L  019,GOLDEN HORN,Historic,"AU,AG,PB",NULL,NULL,NULL,1942,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++019,NULL,NULL,O,NULL,NULL,NULL,NULL,1941,NULL,2024
A1717,50.06,-126.79222,BC,092L  020,KING MIDAS NO. 1 VEIN,Historic,"AU,AG,CU",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++020,NULL,NULL,O,NULL,NULL,NULL,NULL,1940,NULL,2024
A1718,50.045833,-126.82638,BC,092L  027,CORDOVA NO.1,Historic,AU,NULL,NULL,NULL,1939,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++027,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1719,50.071388,-126.83222,BC,092L  031,CHURCHILL MAGNETITE,Historic,"FE,MA,SU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++031,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A172,49.108333,-118.66944,BC,082ESE135,ELKHORN FR. (L.297S),Historic,"AU,AG,PB",NULL,NULL,NULL,1927,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE135,NULL,NULL,O,NULL,NULL,NULL,NULL,1925,NULL,2024
A1720,50.008611,-127.10388,BC,092L  033,PATMORE,Historic,"AU,ZN,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++033,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1721,50.255277,-126.85361,BC,092L  034,IRON CROWN (L.126),Historic,"FE,MA,CU",NULL,NULL,NULL,1963,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++034,NULL,NULL,O,NULL,NULL,NULL,NULL,1959,NULL,2024
A1722,50.378888,-127.23777,BC,092L  035,OLD SPORT,Historic,"FE,MA,CU",NULL,NULL,NULL,1973,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++035,NULL,NULL,O,NULL,NULL,NULL,NULL,1962,NULL,2024
A1723,50.331943,-126.84888,BC,092L  036,NIMPKISH COPPER,Historic,"CU,AU,ZN",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++036,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1724,50.021943,-126.83138,BC,092L  038,VAN ISLE (L.1744),Historic,"AU,AG,PB",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++038,NULL,NULL,O,NULL,NULL,NULL,NULL,1936,NULL,2024
A1725,50.373332,-127.25583,BC,092L  040,SHAMROCK (L.1492),Historic,"MA,FE",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++040,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1726,50.357222,-127.24944,BC,092L  045,KINGFISHER (L.1532),Historic,"MA,FE",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++045,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1727,50.3575,-127.25361,BC,092L  046,RAVEN (L.1542),Historic,"MA,FE,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++046,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1728,50.456944,-127.56694,BC,092L  052,YREKA,Historic,"CU,AG,AU",NULL,NULL,NULL,1967,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++052,NULL,NULL,O,NULL,NULL,NULL,NULL,1902,NULL,2024
A1729,50.430277,-127.39611,BC,092L  057,PILGRIM (L.2035),Historic,"ZN,AG,AU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++057,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A173,49.006111,-118.70611,BC,082ESE147,SAPPHO (L.2039),Historic,"CU,AG,PT",NULL,NULL,NULL,1918,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE147,NULL,NULL,O,NULL,NULL,NULL,NULL,1916,NULL,2024
A1730,50.647499,-127.60416,BC,092L  061,CALEDONIA (L.1294),Historic,"ZN,AG,CU",NULL,NULL,NULL,1929,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++061,NULL,NULL,O,NULL,NULL,NULL,NULL,1929,NULL,2024
A1731,50.633054,-127.25166,BC,092L  067,SUQUASH,Abandoned,CL,NULL,NULL,NULL,NULL,C142,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++067,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1732,50.086944,-126.84611,BC,092L  068,ARTLISH 3-6,Historic,"MA,FE,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++068,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1733,50.556666,-126.71833,BC,092L  071,PRINCESS,Historic,"CU,AG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++071,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1734,50.134721,-127.29861,BC,092L  072,MORRIS (L.988),Historic,"PL,AI,SI",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++072,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1735,50.693888,-127.89249,BC,092L  078,HEP,Historic,"CU,MO,AG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++078,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1736,50.603611,-127.58499,BC,092L  095,KOSKEEMO,Historic,CL,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++095,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1737,50.414166,-126.80722,BC,092L  109,BONANZA LAKE EAST,Historic,"LS,MB,BS",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++109,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1738,50.12611,-127.28499,BC,092L  117,AT MONTEITH (L.826),Historic,"PL,AI,SI",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++117,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1739,50.33111,-126.86083,BC,092L  118,HAZEL 7 (NIMPKISH COPPER),Historic,"CU,ZN,CD",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++118,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A174,49.021666,-118.62888,BC,082ESE149,MABEL (L.609),Historic,"AU,AG,CU",NULL,NULL,NULL,1937,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE149,NULL,NULL,O,NULL,NULL,NULL,NULL,1937,NULL,2024
A1740,50.094166,-126.865,BC,092L  127,HILLER 4-5,Historic,"MA,FE,SU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++127,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1741,50.048333,-126.84583,BC,092L  128,RIDGE (L.2011),Historic,"FE,MA",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++128,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1742,50.599721,-127.01916,BC,092L  146,HADDINGTON ISLAND,Historic,"BS,DS",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++146,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1743,50.034721,-126.73944,BC,092L  149,MAJOR,Historic,"CU,AU,AG",NULL,NULL,NULL,1939,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++149,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1744,50.458888,-127.52055,BC,092L  151,JEUNE LANDING (L.1582),Historic,LS,NULL,NULL,NULL,1960,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++151,NULL,NULL,O,NULL,NULL,NULL,NULL,1919,NULL,2024
A1745,50.031666,-126.8125,BC,092L  155,UEBELL,Historic,"CU,AG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++155,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1746,50.311666,-126.755,BC,092L  164,BONANZA PIT,Historic,"CU,MA,AG",NULL,NULL,NULL,1971,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++164,NULL,NULL,O,NULL,NULL,NULL,NULL,1968,NULL,2024
A1747,50.993055,-127.21555,BC,092L  178,NUGGET QUEEN,Historic,"AU,AG,PB",NULL,NULL,NULL,1949,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++178,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1748,50.997221,-127.20944,BC,092L  179,BOBMAC 6,Historic,"AU,AG,PB",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++179,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1749,50.156111,-127.31722,BC,092L  187,KASHUTL INLET,Historic,"LS,MB,BS",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++187,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A175,49.167221,-118.61527,BC,082ESE150,LAKESIDE FR. (L.1023),Historic,"AG,AU,PB",NULL,NULL,NULL,1941,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE150,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1750,50.710555,-127.97222,BC,092L  200,RED DOG,Historic,"CU,AU,MO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++200,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1751,50.364444,-126.91361,BC,092L  208,SMITH COPPER (MAIN),Historic,"ZN,CU,PB",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++208,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1752,50.015,-126.79555,BC,092L  211,GOLD FIELD (L.1020),Historic,"AU,AG,CU",NULL,NULL,NULL,1951,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++211,NULL,NULL,O,NULL,NULL,NULL,NULL,1936,NULL,2024
A1753,50.035833,-126.78333,BC,092L  212,CENTRAL ZEBALLOS,Historic,"AU,AG,PB",NULL,NULL,NULL,1947,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++212,NULL,NULL,O,NULL,NULL,NULL,NULL,1938,NULL,2024
A1754,50.675277,-127.85805,BC,092L  240,HUSHAMU,Historic,"CU,AU,MO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++240,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1755,50.619999,-127.93583,BC,092L  267,FOX,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++267,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1756,50.516388,-126.89333,BC,092L  279,BEAVER COVE,Historic,"LS,MB,BS",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++279,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1757,50.556666,-127.06277,BC,092L  282,PORT McNEILL,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++282,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1758,50.550277,-127.14749,BC,092L  283,CLUXEWE RIVER,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++283,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1759,50.43861,-127.39749,BC,092L  284,MARBLE RIVER,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++284,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A176,49.170277,-118.60888,BC,082ESE151,ETHIOPIA (L.932),Historic,"AG,AU,PB",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE151,NULL,NULL,O,NULL,NULL,NULL,NULL,1922,NULL,2024
A1760,50.106666,-126.87944,BC,092L  301,HILLER 8-12,Historic,"MA,FE,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++301,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1761,50.383054,-127.23777,BC,092L  320,IDAHO FR (L.1481),Historic,"CU,MA,FE",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++320,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1762,50.395277,-126.80027,BC,092L  339,LEO D'OR,Historic,"MB,DS,BS",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++339,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1763,50.130832,-127.28972,BC,092L  343,MONTEITH BAY,Historic,"PL,AI,SI",NULL,NULL,NULL,2006,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++343,NULL,NULL,O,NULL,NULL,NULL,NULL,1999,NULL,2024
A1764,50.279721,-126.34611,BC,092L  345,TSITIKA GREY,Historic,"GR,DS,BS",NULL,NULL,NULL,1994,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++345,NULL,NULL,O,NULL,NULL,NULL,NULL,1994,NULL,2024
A1765,50.482499,-126.96888,BC,092L  349,NIMPKISH LIMESTONE,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092L++349,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1766,51.97111,-127.88222,BC,092M  007,KISAMEET BAY,Historic,CY,NULL,NULL,NULL,1978,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++007,NULL,NULL,O,NULL,NULL,NULL,NULL,1978,NULL,2024
A1767,51.366388,-127.14777,BC,092M  008,SMITH INLET,Historic,"LS,DO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++008,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1768,51.13861,-126.72999,BC,092M  010,WIGWAM MAGNETITE,Historic,"FE,MA,TI",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++010,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1769,51.781943,-127.86166,BC,092M  012,KOEYE RIVER,Historic,LS,NULL,NULL,NULL,1967,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++012,NULL,NULL,O,NULL,NULL,NULL,NULL,1934,NULL,2024
A177,49.167777,-118.60083,BC,082ESE152,NORTH STAR (L.1165),Historic,"AG,AU,PB",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE152,NULL,NULL,O,NULL,NULL,NULL,NULL,1919,NULL,2024
A1770,51.933333,-127.87527,BC,092M  013,KING ISLAND,Historic,LS,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++013,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1771,51.532221,-127.79777,BC,092M  015,ROSE,Historic,"RO,GS",NULL,NULL,NULL,1989,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++015,NULL,NULL,O,NULL,NULL,NULL,NULL,1989,NULL,2024
A1772,51.929999,-127.97861,BC,092M  019,DECOSMOS,Historic,CY,NULL,NULL,NULL,1992,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092M++019,NULL,NULL,O,NULL,NULL,NULL,NULL,1990,NULL,2024
A1773,51.397777,-124.43749,BC,092N  001,SPOKANE (L.702),Historic,"CU,AG,AU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092N++001,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1774,51.394999,-124.42916,BC,092N  002,MORRIS,Historic,"AU,AG,SB",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092N++002,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1775,51.824999,-125.07027,BC,092N  010,MOUNTAIN BOSS,Historic,"AU,AG,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092N++010,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1776,51.577777,-124.78861,BC,092N  019,BLACKHORN MOUNTAIN,Historic,"AU,AG,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092N++019,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1777,51.692499,-124.39249,BC,092N  039,SKINNER,Historic,"AU,AG,CU",NULL,NULL,NULL,1995,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092N++039,NULL,NULL,O,NULL,NULL,NULL,NULL,1992,NULL,2024
A1778,51.034721,-122.54805,BC,092O  012,ELIZABETH,Historic,"AU,AG,PB",NULL,NULL,NULL,1958,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++012,NULL,NULL,O,NULL,NULL,NULL,NULL,1958,NULL,2024
A1779,51.040555,-122.81805,BC,092O  017,SILVERQUICK MINE,Historic,HG,NULL,NULL,NULL,1965,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++017,NULL,NULL,O,NULL,NULL,NULL,NULL,1965,NULL,2024
A178,49.165833,-118.60111,BC,082ESE153,GOLD DROP (L.1415),Historic,"AG,AU,PB",NULL,NULL,NULL,1988,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE153,NULL,NULL,O,NULL,NULL,NULL,NULL,1926,NULL,2024
A1780,51.03611,-122.75472,BC,092O  018,TUNGSTEN QUEEN,Historic,"WO,SB,HG",NULL,NULL,NULL,1953,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++018,NULL,NULL,O,NULL,NULL,NULL,NULL,1953,NULL,2024
A1781,51.045555,-122.75888,BC,092O  020,TUNGSTEN KING,Historic,"WO,SB,HG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++020,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1782,51.06,-122.76944,BC,092O  023,MANITOU,Historic,HG,NULL,NULL,NULL,1939,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++023,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1783,51.023054,-122.88888,BC,092O  026,ROBSON,Historic,"AU,AG,PB",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++026,NULL,NULL,O,NULL,NULL,NULL,NULL,1939,NULL,2024
A1784,51.11,-123.34861,BC,092O  028,TAYLOR-WINDFALL,Historic,"AU,AG,CU",NULL,NULL,NULL,1954,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++028,NULL,NULL,O,NULL,NULL,NULL,NULL,1932,NULL,2024
A1785,51.161111,-122.61527,BC,092O  030,POISONMOUNT CREEK,Historic,AU,NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++030,NULL,NULL,O,NULL,NULL,NULL,NULL,1940,NULL,2024
A1786,51.363333,-122.54305,BC,092O  031,BORIN CREEK,Historic,AU,NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++031,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1787,51.104444,-123.4,BC,092O  033,TASEKO (EMPRESS),Historic,"CU,AU,MO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++033,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1788,51.101111,-123.35277,BC,092O  038,BUZZER,Historic,"CU,MO,AU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++038,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1789,51.463611,-123.62555,BC,092O  041,PROSPERITY,Historic,"CU,AU,AG",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++041,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A179,49.133054,-118.46833,BC,082ESE158,SEATTLE (L.652),Historic,"CU,AU,AG",NULL,NULL,NULL,1916,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE158,NULL,NULL,O,NULL,NULL,NULL,NULL,1903,NULL,2024
A1790,51.096666,-123.60611,BC,092O  045,PELLAIRE,Historic,"AU,AG,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++045,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1791,51.133333,-122.61416,BC,092O  046,POISON MOUNTAIN,Historic,"CU,AU,MO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++046,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1792,51.803055,-123.63527,BC,092O  050,NEWTON,Historic,"AU,AG,CU",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++050,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1793,51.056388,-122.0625,BC,092O  051,WATSON BAR,Historic,"AU,CU,PB",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++051,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1794,51.06861,-122.80583,BC,092O  059,MUGWUMP,Historic,"HG,SB",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++059,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1795,51.345277,-122.35166,BC,092O  072,FRENIER,Abandoned,"PE,PZ",NULL,NULL,NULL,1987,M164,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++072,NULL,NULL,O,NULL,NULL,NULL,NULL,1983,NULL,2024
A1796,51.096944,-122.19388,BC,092O  151,STIRRUP CREEK PLACER,Historic,AU,NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092O++151,NULL,NULL,O,NULL,NULL,NULL,NULL,1940,NULL,2024
A1797,51.441944,-120.08611,BC,092P  039,WINDPASS,Historic,"AU,CU,BI",NULL,NULL,NULL,1944,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++039,NULL,NULL,O,NULL,NULL,NULL,NULL,1916,NULL,2024
A1798,51.434721,-120.09027,BC,092P  040,SWEET HOME (L.3844),Historic,"AU,CU,BI",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++040,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1799,51.551666,-120.13777,BC,092P  042,QUEEN BESS,Historic,"PB,ZN,AG",NULL,NULL,NULL,1919,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++042,NULL,NULL,O,NULL,NULL,NULL,NULL,1917,NULL,2024
A18,49.464444,-125.52277,BC,092F  069,SHERWOOD,Historic,"AU,AG,ZN",NULL,NULL,NULL,1942,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092F++069,NULL,NULL,O,NULL,NULL,NULL,NULL,1942,NULL,2024
A180,49.069443,-118.59111,BC,082ESE163,WINNER (L.1158),Historic,"CU,AU,AG",NULL,NULL,NULL,1940,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=082ESE163,NULL,NULL,O,NULL,NULL,NULL,NULL,1934,NULL,2024
A1800,51.190555,-120.10694,BC,092P  045,DIXON CREEK PLACER,Historic,AU,NULL,NULL,NULL,1935,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++045,NULL,NULL,O,NULL,NULL,NULL,NULL,1930,NULL,2024
A1801,51.213055,-120.04777,BC,092P  046,BARRIERE RIVER PLACER,Historic,AU,NULL,NULL,NULL,1945,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++046,NULL,NULL,O,NULL,NULL,NULL,NULL,1930,NULL,2024
A1802,51.007222,-120.44583,BC,092P  050,BONAPARTE,Historic,"AU,CU,MO",NULL,NULL,NULL,NULL,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++050,NULL,NULL,O,NULL,NULL,NULL,NULL,NULL,NULL,2024
A1803,51.318888,-120.12666,BC,092P  053,CHU CHUA COAL,Historic,CL,NULL,NULL,NULL,1922,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++053,NULL,NULL,O,NULL,NULL,NULL,NULL,1893,NULL,2024
A1804,51.129443,-120.10416,BC,092P  054,LOUIS CREEK PLACER,Historic,AU,NULL,NULL,NULL,1945,NULL,http://minfile.gov.bc.ca/Summary.aspx?minfilno=092P++054,NULL,NULL,O,NULL,NULL,NULL,NULL,1925,NULL,2024
